Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
Peptidoglycan biosynthesis	16	-6.8241	0.92615	1	6.8241	0.40319	0.86089	7.1054	0.98004	0.98004	4	2.7298	0.90419	0.94803	11	9.3986	0.88224	0.91396
Phenylalanine metabolism	8	5.8875	0.15569	0.46707	3.9762	0.45509	0.86089	22.191	0.047904	0.16766	3	22.685	0.003992	0.037259	5	10.497	0.47904	0.74945
Phenylalanine, tyrosine and tryptophan biosynthesis	6	6.9548	0.10579	0.40519	2.5121	0.49301	0.86089	21.736	0.013972	0.062874	3	16.857	0.01996	0.15968	3	13.883	0.1996	0.50334
Polyketide sugar unit biosynthesis	5	-1.1166	0.57884	0.91091	1.1166	0.53293	0.86089	8.4845	0.52894	0.74052	2	5.8524	0.33533	0.73515	3	6.1751	0.6008	0.79196
Porphyrin and chlorophyll metabolism	30	-32.804	1	1	70.966	0.001996	0.020958	42.213	0.001996	0.012575	2	4.762	0.44511	0.82647	28	42.422	0.001996	0.014471
Proline metabolism	5	8.2437	0.061876	0.38982	0.61359	0.56088	0.86184	18.109	0.071856	0.20577	4	13.036	0.11976	0.37259	1	14.421	0.05988	0.23154
Propanoate metabolism	12	-22.245	1	1	56.186	0.001996	0.020958	52.196	0.001996	0.012575	1	0.52507	0.7984	0.93147	11	54.359	0.001996	0.014471
Purine metabolism	51	7.2448	0.10379	0.40519	8.7732	0.52894	0.86089	38.585	0.02994	0.12575	33	22.6	0.34132	0.73515	17	37.334	0.005988	0.038589
Pyrimidine metabolism	49	4.6179	0.22754	0.57341	11.82	0.4012	0.86089	41.437	0.013972	0.062874	25	27.351	0.025948	0.16145	23	33.678	0.031936	0.15436
Pyruvate metabolism	29	2.9587	0.3014	0.69162	20.781	0.057884	0.36467	40.896	0.001996	0.012575	16	21.979	0.055888	0.20865	13	36.698	0.001996	0.014471
Riboflavin metabolism	15	-4.7466	0.82635	1	18.239	0.057884	0.36467	25.932	0.067864	0.20577	4	16.988	0.035928	0.17565	11	20.038	0.23752	0.51024
Selenocompound metabolism	8	1.4054	0.40918	0.78116	3.6474	0.47106	0.86089	14.439	0.28343	0.52518	5	9.5184	0.36128	0.74932	3	11.291	0.30339	0.58656
Starch and sucrose metabolism	8	2.5556	0.30739	0.69162	7.3198	0.31337	0.8226	15.42	0.22355	0.44405	3	15.465	0.041916	0.17565	4	12.519	0.25549	0.52923
Sulfur metabolism	2	4.1774	0.2016	0.57341	-4.1774	0.81836	0.96913	4.741	0.49501	0.73694	1	6.568	0.20758	0.5284	1	0.13681	0.8982	0.91396
TCA cycle	13	12.195	0.017964	0.17964	-2.5871	0.86826	0.96913	21.364	0.10778	0.27162	8	18.997	0.043912	0.17565	5	10.419	0.48703	0.74945
Terpenoid backbone biosynthesis	12	-5.2963	0.88423	1	5.2963	0.43313	0.86089	11.63	0.67265	0.8222	4	5.6634	0.61876	0.93147	8	10.24	0.72255	0.91356
Thiamine metabolism	17	-8.3853	0.9501	1	18.173	0.057884	0.36467	18.522	0.39321	0.65191	6	6.2173	0.72255	0.93147	11	18.435	0.33733	0.62949
Transport	92	17.303	0.001996	0.041916	11.108	0.61677	0.87477	65.348	0.001996	0.012575	53	49.443	0.001996	0.027944	39	42.73	0.015968	0.084195
Tyrosine metabolism	6	11.009	0.023952	0.18862	0.38103	0.6008	0.87477	21.522	0.013972	0.062874	3	22.685	0.003992	0.037259	3	7.7522	0.49102	0.74945
Ubiquinone and other terpenoid-quinone biosynthesis	5	-2.1804	0.6487	0.95169	2.1803	0.47705	0.86089	7.7744	0.57685	0.75711	1	7.3461	0.16367	0.45828	4	5.0189	0.79242	0.91396
Valine, leucine and isoleucine biosynthesis	1	-2.5589	0.70259	0.96225	2.5589	0.3014	0.8226	2.3079	0.54291	0.74111	0	NA	NA	NA	1	2.3079	0.57685	0.79196
Vitamin B6 metabolism	1	-8.2095	1	1	21.273	0.08982	0.47156	11.509	0.093812	0.25696	0	NA	NA	NA	1	11.509	0.11776	0.32525
beta-Alanine metabolism	3	6.8712	0.097804	0.40519	-2.9789	0.77445	0.95914	9.874	0.22555	0.44405	1	14.905	0.031936	0.17565	2	1.5537	0.88423	0.91396
bile acid biosynthesis	1	1.5049	0.36527	0.74232	-1.5049	0.63872	0.87477	1.1154	0.7006	0.83279	1	1.1154	0.71257	0.93147	0	NA	NA	NA
energy metabolism	20	-22.197	1	1	39.724	0.001996	0.020958	28.718	0.033932	0.12575	1	-0.41696	0.91417	0.94803	19	29.559	0.05988	0.23154
peptidoglycan biosynthesis	12	3.1348	0.28543	0.69162	-3.1348	0.86627	0.96913	12.661	0.60479	0.77759	6	11.375	0.26747	0.62409	6	6.5306	0.84032	0.91396
purine metabolism	6	-0.98402	0.55888	0.91091	0.98402	0.57485	0.86228	5.4307	0.84631	0.91008	2	4.2588	0.51896	0.85476	4	3.6398	0.88024	0.91396
pyruvate metabolism	1	0.23129	0.47305	0.8515	-0.23129	0.52894	0.86089	-0.90434	0.96208	0.97759	1	-0.90434	0.95609	0.96806	0	NA	NA	NA
unclassified	23	5.6665	0.1517	0.46707	12.419	0.21557	0.69162	29.301	0.033932	0.12575	14	19.592	0.10579	0.34848	9	22.405	0.081836	0.28299
vitamin B6 metabolism	3	-2.6673	0.66068	0.95169	10.21	0.20758	0.69162	8.3242	0.31537	0.5519	2	2.0566	0.77445	0.93147	1	11.509	0.11776	0.32525
