Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
dADP	8	5.7624	0.16766	0.56097	-0.77228	0.6986	1	9.7575	0.63273	0.84387	5	10.245	0.28543	0.68734	2	9.1215	0.28144	0.52199
dATP	8	-2.6137	0.69661	1	11.851	0.14172	0.57005	17.079	0.18962	0.52091	4	6.9536	0.47904	0.83659	4	17.2	0.10778	0.36523
dGDP	4	5.5698	0.11377	0.51558	1.0315	0.55289	1	16.194	0.085828	0.37464	3	10.968	0.13174	0.58053	1	13.391	0.087824	0.33528
dGMP	4	10.312	0.02994	0.31996	-8.0337	0.97206	1	11.953	0.22156	0.57977	3	12.847	0.08982	0.45908	1	1.656	0.68663	0.86985
GDP	15	2.9332	0.27345	0.71983	0.5233	0.77445	1	16.296	0.47106	0.7622	7	13.436	0.20359	0.65757	8	9.7454	0.73453	0.90475
GMP	9	5.9853	0.18164	0.58319	-5.9853	0.91816	1	8.7705	0.76647	0.88616	5	10.523	0.26347	0.68339	4	1.3912	0.97006	0.99634
Dimethylallyl diphosphate	4	-5.6432	0.87026	1	5.6432	0.3513	0.85846	7.0442	0.51896	0.79001	1	1.4871	0.61677	0.87516	3	7.2754	0.48503	0.69964
Farnesyl diphosphate	3	-3.3263	0.7505	1	3.3263	0.34331	0.85056	4.9489	0.57685	0.82795	1	1.4871	0.61677	0.87516	2	5.0096	0.51297	0.7278
Geranylgeranyl diphosphate	2	-2.997	0.71457	1	2.997	0.32934	0.83325	5.2571	0.46307	0.75632	1	1.4871	0.61677	0.87516	1	5.9477	0.26347	0.52199
Geranyl diphosphate	2	-2.997	0.71457	1	2.997	0.32934	0.83325	5.2571	0.46307	0.75632	1	1.4871	0.61677	0.87516	1	5.9477	0.26347	0.52199
Isopentenyl diphosphate	5	-6.2808	0.90818	1	6.2808	0.30539	0.78938	7.3926	0.60679	0.84387	1	1.4871	0.61677	0.87516	4	7.5216	0.58483	0.78619
Undecaprenyl diphosphate	8	-6.844	0.93613	1	6.844	0.33533	0.84244	4.1162	0.95409	0.98544	1	1.4871	0.61677	0.87516	6	7.4974	0.76647	0.90858
H2O	236	-1.1734	0.67864	1	40.338	0.005988	0.062137	90.861	0.001996	0.043368	112	53.177	0.001996	0.061054	123	75.854	0.001996	0.057415
5,10-Methylenetetrahydrofolate	3	3.6766	0.22754	0.63702	-3.6766	0.81038	1	3.1597	0.7505	0.87355	3	3.1597	0.78443	0.93661	0	NA	NA	NA
Nicotinamide adenine dinucleotide phosphate	47	-4.4356	0.80639	1	32.871	0.001996	0.044661	46.709	0.001996	0.043368	23	22.695	0.11178	0.52355	24	43.147	0.001996	0.057415
Nicotinamide adenine dinucleotide phosphate - reduced	46	-4.3814	0.82834	1	33.124	0.003992	0.062137	47.21	0.001996	0.043368	23	22.695	0.11178	0.52355	23	44.069	0.001996	0.057415
3-(4-Hydroxyphenyl)pyruvate	6	11.009	0.015968	0.21987	0.38103	0.59681	1	21.522	0.027944	0.21315	3	22.685	0.001996	0.061054	3	7.7522	0.45908	0.68028
(S)-3-Methyl-2-oxopentanoate	7	16.72	0.013972	0.20842	-11.921	0.98802	1	19.513	0.061876	0.32863	5	21.485	0.015968	0.22442	2	2.5343	0.78244	0.90858
4-Methyl-2-oxopentanoate	7	17.7	0.011976	0.20842	-10.724	0.98603	1	20.249	0.043912	0.26682	4	25.532	0.001996	0.061054	3	1.4486	0.94212	0.99634
N-Acetyl-L-2-amino-6-oxopimelate	5	13.207	0.01996	0.2464	-8.679	0.96806	1	16.633	0.093812	0.37464	3	19.404	0.007984	0.12974	2	2.5343	0.78244	0.90858
2-Oxoglutarate	11	15.231	0.005988	0.20416	-0.086763	0.70659	1	31.675	0.005988	0.089446	7	26.591	0.001996	0.061054	4	17.35	0.10579	0.36175
N6-Acetyl-LL-2,6-diaminoheptanedioate	5	14.614	0.00998	0.20842	-9.0964	0.97405	1	18.052	0.063872	0.33428	3	21.236	0.005988	0.10737	2	2.5343	0.78244	0.90858
L-Glutamate	51	29.745	0.001996	0.095276	-7.8435	0.998	1	48.215	0.001996	0.043368	37	44.468	0.001996	0.061054	14	19.734	0.34531	0.59515
L-Isoleucine	10	14.645	0.007984	0.20842	-10.311	0.98802	1	16.639	0.2515	0.59283	6	20.622	0.003992	0.07984	4	1.0527	0.98004	0.99634
Indolepyruvate	5	11.29	0.031936	0.32206	-6.7619	0.93413	1	14.66	0.16367	0.47899	3	16.857	0.027944	0.32291	2	2.5343	0.78244	0.90858
L-Leucine	9	14.138	0.013972	0.20842	-9.5705	0.98403	1	16.303	0.22754	0.5859	5	20.931	0.01996	0.27314	4	1.0527	0.98004	0.99634
L-Phenylalanine	8	11.312	0.033932	0.32832	-1.4481	0.72655	1	20.237	0.095808	0.37464	5	19.593	0.021956	0.28543	3	7.7522	0.45908	0.68028
Phenylpyruvate	6	11.009	0.015968	0.21987	0.38103	0.59681	1	21.522	0.027944	0.21315	3	22.685	0.001996	0.061054	3	7.7522	0.45908	0.68028
L-Tryptophan	6	11.575	0.013972	0.20842	-7.4418	0.96407	1	14.566	0.19561	0.53126	4	16.047	0.035928	0.35928	2	2.5343	0.78244	0.90858
L-Tyrosine	10	15.189	0.005988	0.20416	0.49952	0.68064	1	29.945	0.005988	0.089446	6	27.883	0.001996	0.061054	4	13.197	0.25549	0.52199
L-Glutamyl-tRNA(Glu)	5	1.9765	0.33733	0.80241	-1.9765	0.73054	1	6.2271	0.68862	0.8493	4	4.3539	0.76447	0.93661	1	5.2164	0.29142	0.52199
tRNA (Glu)	2	-2.3575	0.65269	1	2.3575	0.37924	0.90212	4.8912	0.50299	0.78542	1	1.7008	0.58283	0.87516	1	5.2164	0.29142	0.52199
tRNA(Gln)	1	2.0095	0.32335	0.77692	-2.0095	0.67864	1	1.7008	0.6487	0.8493	1	1.7008	0.58283	0.87516	0	NA	NA	NA
L-Glutamyl-tRNA(Gln)	1	2.0095	0.32335	0.77692	-2.0095	0.67864	1	1.7008	0.6487	0.8493	1	1.7008	0.58283	0.87516	0	NA	NA	NA
L-Glutamine	30	18.931	0.003992	0.16813	-5.2491	0.98004	1	31.807	0.05988	0.32281	24	27.324	0.027944	0.32291	6	16.474	0.1976	0.47836
Ammonium	25	3.531	0.27545	0.72225	2.131	0.73653	1	20.971	0.49701	0.78148	12	14.538	0.35928	0.75031	13	15.115	0.68263	0.86985
D-Glucose 6-phosphate	7	0.52082	0.46307	0.93135	-0.52082	0.68064	1	8.5232	0.65669	0.8493	4	5.7589	0.60279	0.87516	3	6.3697	0.55888	0.76339
D-Glucose	18	-16.4	1	1	37.955	0.001996	0.044661	32.546	0.005988	0.089446	5	5.112	0.78044	0.93661	13	35.127	0.005988	0.091504
Cytidine	6	-9.9747	0.98603	1	25.975	0.005988	0.062137	24.67	0.011976	0.12628	1	4.2148	0.32335	0.71551	5	25.14	0.01996	0.19138
dCMP	4	-0.8663	0.51098	0.97031	0.8663	0.56687	1	4.6986	0.73852	0.86241	1	4.2148	0.32335	0.71551	3	2.9921	0.84431	0.943
Deoxycytidine	3	0.11302	0.49501	0.96574	-0.11302	0.54491	1	4.4966	0.63273	0.84387	1	4.2148	0.32335	0.71551	2	2.5269	0.78244	0.90858
GTP	25	-0.25311	0.55888	0.99207	11.553	0.26946	0.73622	28.619	0.071856	0.3654	10	20.206	0.033932	0.35928	15	20.449	0.34132	0.59186
IDP	4	-2.04	0.61277	1	8.5719	0.24152	0.70295	10.169	0.29142	0.62002	2	3.8474	0.56687	0.87516	2	10.533	0.22355	0.51936
ITP	4	-2.04	0.61277	1	8.5719	0.24152	0.70295	10.169	0.29142	0.62002	2	3.8474	0.56687	0.87516	2	10.533	0.22355	0.51936
UMP	12	7.7223	0.073852	0.45256	-6.6707	0.97206	1	11.024	0.70858	0.8493	8	11.467	0.35729	0.74915	4	2.8774	0.92415	0.99634
Uridine	6	-9.9747	0.98603	1	25.975	0.005988	0.062137	24.67	0.011976	0.12628	1	4.2148	0.32335	0.71551	5	25.14	0.01996	0.19138
3-Phosphoadenylyl sulfate	1	4.3687	0.17565	0.57427	-4.3687	0.82635	1	4.2148	0.39721	0.70678	1	4.2148	0.32335	0.71551	0	NA	NA	NA
Adenosine 5-phosphosulfate	1	4.3687	0.17565	0.57427	-4.3687	0.82635	1	4.2148	0.39721	0.70678	1	4.2148	0.32335	0.71551	0	NA	NA	NA
L-Phenylalanyl-tRNA(Phe)	2	3.5561	0.20958	0.61249	-3.5561	0.80439	1	3.1957	0.69661	0.8493	2	3.1957	0.63872	0.87516	0	NA	NA	NA
tRNA(Phe)	2	3.5561	0.20958	0.61249	-3.5561	0.80439	1	3.1957	0.69661	0.8493	2	3.1957	0.63872	0.87516	0	NA	NA	NA
N-Formyl-L-methionine	2	1.18	0.39321	0.87164	-1.18	0.61876	1	0.38384	0.9481	0.98378	1	1.5417	0.61078	0.87516	1	-0.99883	0.98004	0.99634
Formate	7	10.603	0.037924	0.35265	-5.6657	0.90818	1	13.025	0.3014	0.62871	4	15.924	0.041916	0.38749	3	1.5089	0.94012	0.99634
L-Methionine	18	6.3683	0.11776	0.527	2.8693	0.65269	1	19.6	0.33333	0.65659	12	14.824	0.33333	0.71923	6	12.984	0.39721	0.63893
Deamino-NAD+	2	0.18235	0.45509	0.92975	-0.18235	0.55689	1	-0.32478	0.97405	0.98783	1	-2.9623e-05	0.85828	0.93661	1	-0.45927	0.95808	0.99634
Nicotinamide adenine dinucleotide	64	-8.272	0.96407	1	51.558	0.001996	0.044661	72.779	0.001996	0.043368	24	33.008	0.001996	0.061054	40	66.491	0.001996	0.057415
Nicotinate D-ribonucleotide	5	-1.8921	0.63273	1	1.8921	0.53094	1	4.5435	0.81437	0.91809	2	2.1896	0.77046	0.93661	3	4.0778	0.74651	0.90806
Nicotinamide D-ribonucleotide	2	-0.91591	0.55689	0.99207	0.91591	0.46307	0.98095	1.1709	0.88822	0.94701	1	-2.9623e-05	0.85828	0.93661	1	1.656	0.68663	0.86985
NMN C11H14N2O8P	5	15.392	0.00998	0.20842	-10.219	0.98403	1	14.746	0.15968	0.46923	5	14.746	0.0998	0.49425	0	NA	NA	NA
D-Alanine	11	6.5208	0.11976	0.52931	-6.5208	0.9501	1	12.46	0.59082	0.83719	8	10.94	0.3992	0.77457	3	5.9928	0.59281	0.78875
D-Alanyl-D-alanine	2	-4.604	0.84631	1	4.604	0.22954	0.70295	4.3163	0.56886	0.82733	0	NA	NA	NA	2	4.3163	0.58683	0.78619
D-Alanyl-D-lactate	2	-4.604	0.84631	1	4.604	0.22954	0.70295	4.3163	0.56886	0.82733	0	NA	NA	NA	2	4.3163	0.58683	0.78619
D-Lactate	5	6.4806	0.11577	0.52132	5.2041	0.36727	0.88839	20.333	0.025948	0.20904	3	14.458	0.06986	0.42738	2	14.442	0.15369	0.43193
Phosphoenolpyruvate	6	-5.9766	0.89022	1	16.643	0.0499	0.35028	13.756	0.22754	0.5859	2	2.7258	0.69661	0.87536	4	14.92	0.16766	0.44318
UDP-N-acetyl-3-O-(1-carboxyvinyl)-D-glucosamine	3	0.089623	0.501	0.96677	-0.089623	0.53892	1	2.6267	0.80838	0.91277	1	2.663	0.47305	0.83659	2	1.334	0.88423	0.96948
UDP-N-acetyl-D-glucosamine	7	0.12642	0.50699	0.96801	-0.12642	0.64072	1	5.8069	0.86228	0.94102	3	4.626	0.62275	0.87516	4	3.6755	0.87824	0.96508
Uracil	16	-10.98	0.98603	1	30.793	0.005988	0.062137	34.244	0.001996	0.043368	4	10.951	0.1976	0.64222	12	33.218	0.005988	0.091504
5-Phospho-alpha-D-ribose 1-diphosphate	10	12.926	0.015968	0.21987	-10.804	0.99202	1	12.508	0.54291	0.80761	9	13.21	0.29741	0.68734	1	-0.076848	0.92415	0.99634
Acetaldehyde	10	-7.1983	0.93214	1	24.334	0.01996	0.17014	21.91	0.047904	0.27478	4	7.3184	0.43713	0.80403	6	22.311	0.03992	0.27417
L-Alanine	11	-4.5106	0.83832	1	8.4496	0.27545	0.74104	9.0471	0.84431	0.93278	6	1.7208	0.98603	0.99367	5	11.534	0.41317	0.65598
Glycine	8	6.083	0.15768	0.55654	2.0542	0.57685	1	15.487	0.24351	0.5859	6	11.208	0.24551	0.68339	2	11.562	0.20758	0.49517
Pyridoxamine 5-phosphate	4	-1.3936	0.56687	0.99207	7.9255	0.25749	0.72011	7.9588	0.46307	0.75632	3	2.5451	0.83433	0.93661	1	11.509	0.11577	0.36523
Pyridoxal 5-phosphate	4	0.27993	0.40519	0.89266	6.252	0.32735	0.83325	9.7258	0.31537	0.64141	3	4.5854	0.62675	0.87516	1	11.509	0.11577	0.36523
Pyruvate	28	-2.8836	0.74052	1	31.616	0.005988	0.062137	50.915	0.001996	0.043368	12	21.591	0.02994	0.33845	16	48.656	0.001996	0.057415
L-Serine	15	-0.28227	0.48902	0.95667	3.6554	0.62076	1	14.762	0.57685	0.82795	9	8.275	0.69062	0.87536	6	13.206	0.38124	0.6341
L-Threonine	6	0.5223	0.45908	0.92995	-0.52229	0.63673	1	10.836	0.39122	0.70678	4	6.776	0.499	0.85637	2	9.1866	0.28144	0.52199
L-Allo-threonine	2	4.1052	0.19162	0.58847	-4.1052	0.82236	1	3.7507	0.63473	0.84387	2	3.7507	0.57485	0.87516	0	NA	NA	NA
dTMP	4	5.7275	0.10978	0.51041	-5.6353	0.91617	1	7.2447	0.51098	0.7862	3	7.4094	0.32934	0.71923	1	1.656	0.68663	0.86985
dUMP	7	1.8952	0.36727	0.82176	-1.8255	0.75649	1	8.5601	0.6487	0.8493	3	8.1563	0.2515	0.68339	4	4.2604	0.84032	0.94247
Deoxyuridine	4	-1.9942	0.60679	1	8.6184	0.24152	0.70295	16.58	0.06986	0.35778	1	8.3121	0.11377	0.52355	3	14.345	0.14571	0.42161
Thymidine	4	-4.9556	0.83433	1	11.58	0.12176	0.51891	19.64	0.021956	0.18305	1	8.3121	0.11377	0.52355	3	17.879	0.06986	0.31631
meso-2,6-Diaminoheptanedioate	4	10.143	0.033932	0.32832	-9.4288	0.98403	1	9.4222	0.34331	0.6689	4	9.4222	0.26547	0.68339	0	NA	NA	NA
L-Lysine	5	9.4043	0.051896	0.3962	-8.7658	0.96806	1	9.1077	0.46906	0.7622	4	10.298	0.23353	0.67294	1	-0.23156	0.94611	0.99634
UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysine	2	0.11911	0.45709	0.92975	-0.11911	0.55489	1	4.8628	0.50499	0.78542	1	3.5267	0.38723	0.75984	1	3.3504	0.43114	0.66507
UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	3	0.33008	0.48104	0.95539	-0.33008	0.55689	1	3.4026	0.72255	0.8493	2	1.9066	0.8004	0.93661	1	3.1971	0.43713	0.66576
UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-meso-2,6-diaminopimelate	3	0.24589	0.48303	0.95539	-0.24589	0.55489	1	3.4911	0.71457	0.8493	2	1.9066	0.8004	0.93661	1	3.3504	0.43114	0.66507
L-Arginine	16	19.21	0.005988	0.20416	1.608	0.65669	1	39.679	0.001996	0.043368	11	32.568	0.001996	0.061054	5	22.674	0.027944	0.22774
L-Ornithine	9	-2.3282	0.68064	1	17.968	0.0499	0.35028	27.825	0.005988	0.089446	4	14.485	0.063872	0.40504	5	24.375	0.023952	0.21296
L-Citrulline	3	2.0363	0.36128	0.82176	19.825	0.017964	0.15879	36.06	0.001996	0.043368	1	19.911	0.031936	0.35334	2	30.085	0.005988	0.091504
Ammonia	2	-7.3629	0.94411	1	16.6	0.0499	0.35028	16.399	0.043912	0.26682	0	NA	NA	NA	2	16.399	0.091816	0.33758
Cu2+	2	-7.4248	0.94611	1	7.4248	0.17764	0.6235	7.2417	0.30339	0.62871	0	NA	NA	NA	2	7.2417	0.38124	0.6341
Carbamoyl phosphate	7	8.4119	0.075848	0.45256	22.854	0.00998	0.094022	45.141	0.001996	0.043368	3	31.759	0.001996	0.061054	4	32.213	0.001996	0.057415
Bicarbonate	13	13.404	0.00998	0.20842	4.5637	0.4511	0.96702	31.716	0.003992	0.068149	10	22.516	0.00998	0.15264	3	24.914	0.013972	0.16267
Carbamate	1	-8.2095	1	1	21.273	0.10379	0.45314	21.273	0.043912	0.26682	0	NA	NA	NA	1	21.273	0.047904	0.27417
D-Fructose 6-phosphate	11	-1.8929	0.67465	1	5.8319	0.39122	0.9154	14.131	0.44112	0.75126	6	7.0823	0.60878	0.87516	5	13.202	0.32934	0.57517
beta-D-glucose 6-phosphate	2	-6.5902	0.92216	1	6.5902	0.18363	0.63212	6.3543	0.35729	0.67237	0	NA	NA	NA	2	6.3543	0.43114	0.66507
L-Histidine	9	23.625	0.001996	0.095276	-15.885	0.998	1	22.577	0.02994	0.22362	8	24.567	0.003992	0.07984	1	-1.7549	0.99601	0.998
D-Cysteine	8	27.305	0.001996	0.095276	-18.419	1	1	26.829	0.011976	0.12628	8	26.829	0.003992	0.07984	0	NA	NA	NA
D-Mannitol	4	9.7077	0.033932	0.32832	-3.1758	0.82834	1	11.136	0.24551	0.58873	2	14.836	0.045908	0.38749	2	0.91241	0.91617	0.99557
L-Proline	11	6.1045	0.14371	0.55654	0.8966	0.65269	1	19.684	0.13772	0.42748	6	16.094	0.05988	0.38922	5	11.566	0.41118	0.65494
L-Aspartate	13	19.214	0.001996	0.095276	-13.036	1	1	19.616	0.17166	0.48647	9	23.788	0.005988	0.10737	4	-0.31987	0.998	0.998
L-Aspartyl-tRNA(Asp)	1	-0.011582	0.51497	0.97031	0.011582	0.48902	0.99472	-2.3558	0.99002	0.99557	0	NA	NA	NA	1	-2.3558	0.998	0.998
tRNA(Asp)	1	-0.011582	0.51497	0.97031	0.011582	0.48902	0.99472	-2.3558	0.99002	0.99557	0	NA	NA	NA	1	-2.3558	0.998	0.998
Guanosine 3,5-bis(diphosphate)	4	-1.9345	0.6008	1	1.9345	0.501	1	6.1237	0.58882	0.83601	1	4.4865	0.30339	0.695	3	4.4807	0.71856	0.89182
Guanosine 3-diphosphate 5-triphosphate	6	3.0966	0.28144	0.72225	-1.4396	0.68862	1	10.073	0.43713	0.74964	2	11.808	0.077844	0.43526	4	3.987	0.8523	0.943
L-Lactate	12	-0.11522	0.50499	0.96677	17.605	0.057884	0.39099	30.049	0.001996	0.043368	6	14.585	0.087824	0.45908	6	27.911	0.007984	0.10845
Nicotinamide adenine dinucleotide - reduced	58	-10.588	0.98603	1	55.936	0.001996	0.044661	74.648	0.001996	0.043368	20	32.992	0.003992	0.07984	38	68.289	0.001996	0.057415
FAD	8	-7.3819	0.9481	1	7.3819	0.3014	0.78473	9.0664	0.68263	0.8493	4	0.60289	0.97804	0.98946	4	12.219	0.31936	0.56527
flavin mononucleotide	5	-3.725	0.77246	1	9.5674	0.17964	0.62743	14.422	0.17365	0.48827	2	5.3184	0.42315	0.78867	3	14.276	0.1477	0.42314
Riboflavin	8	-7.0586	0.94411	1	16.296	0.035928	0.26796	14.513	0.27745	0.61779	2	5.3184	0.42315	0.78867	6	13.687	0.34731	0.59515
Pseudouridine 5-phosphate	6	-1.5788	0.63473	1	1.5788	0.52495	1	10.783	0.3992	0.70678	2	8.1535	0.22555	0.67294	4	7.4404	0.59082	0.78875
alpha-D-Ribose 5-phosphate	16	-3.5751	0.79441	1	10.107	0.24152	0.70295	18.088	0.41317	0.72432	9	6.2349	0.87625	0.93661	7	20.277	0.12176	0.37212
L-Prolyl-tRNA(Pro)	1	-2.7179	0.72255	1	2.7179	0.27944	0.74104	2.48	0.54092	0.80761	0	NA	NA	NA	1	2.48	0.53693	0.7459
tRNA(Pro)	1	-2.7179	0.72255	1	2.7179	0.27944	0.74104	2.48	0.54092	0.80761	0	NA	NA	NA	1	2.48	0.53693	0.7459
CDPdiacylglycerol (LRE specific)	2	-1.1306	0.57086	0.99207	1.1306	0.4511	0.96702	0.54369	0.93413	0.97351	1	-0.77964	0.93812	0.96408	1	1.5485	0.70858	0.88618
CDPglycerol	1	-1.8753	0.66467	1	1.8753	0.33733	0.84449	1.5485	0.67665	0.8493	0	NA	NA	NA	1	1.5485	0.70858	0.88618
sn-Glycerol 3-phosphate	9	1.0251	0.45709	0.92975	-1.0251	0.71058	1	6.094	0.92016	0.96597	6	4.0086	0.90419	0.93661	3	4.8861	0.67465	0.86985
phosphatidic acid (Lb reuteri specific)	7	-1.312	0.62874	1	1.312	0.56287	1	8.1583	0.6986	0.8493	4	4.4059	0.75649	0.9366	3	7.3744	0.48104	0.698
all-trans-Decaprenyl diphosphate	1	-1.5229	0.63074	1	1.5229	0.37126	0.89201	1.137	0.72056	0.8493	0	NA	NA	NA	1	1.137	0.76248	0.90858
acyl carrier protein	5	8.5555	0.06986	0.45256	-7.9513	0.95409	1	7.7394	0.56687	0.82733	5	7.7394	0.51497	0.86943	0	NA	NA	NA
1-Acyl-sn-glycerol 3-phosphate	3	3.3792	0.24351	0.66295	-3.3792	0.78643	1	2.8161	0.78244	0.8919	3	2.8161	0.81038	0.93661	0	NA	NA	NA
cyclopropanoyl octadecanoyl-[acyl-carrier protein]	2	3.2692	0.22555	0.63702	-3.2692	0.78643	1	2.8813	0.73653	0.86241	2	2.8813	0.68463	0.87536	0	NA	NA	NA
Hexadecenoyl-ACP (n-C16:1ACP)	4	7.7057	0.073852	0.45256	-7.0301	0.95609	1	7.0414	0.51896	0.79001	4	7.0414	0.46906	0.83659	0	NA	NA	NA
Octadecanoyl-[acyl-carrier protein]	2	3.757	0.20359	0.60237	-3.757	0.81038	1	3.4111	0.67665	0.8493	2	3.4111	0.61277	0.87516	0	NA	NA	NA
Octadecynoyl-ACP (n-C18:2ACP)	2	2.0742	0.31138	0.76091	-2.0742	0.70259	1	1.3437	0.87425	0.94701	2	1.3437	0.86028	0.93661	0	NA	NA	NA
Octadecenoyl-ACP (n-C18:1ACP)	4	4.0391	0.16766	0.56097	-4.0391	0.86627	1	3.2694	0.85429	0.93802	4	3.2694	0.86627	0.93661	0	NA	NA	NA
Palmitoyl-ACP (n-C16:0ACP)	4	7.7057	0.073852	0.45256	-7.0301	0.95609	1	7.0414	0.51896	0.79001	4	7.0414	0.46906	0.83659	0	NA	NA	NA
Tetradecanoyl-[acyl-carrier protein]	3	8.5874	0.065868	0.45256	-7.8074	0.95609	1	8.2635	0.30339	0.62871	3	8.2635	0.24551	0.68339	0	NA	NA	NA
octadecatrienoyl-ACP (n-C18:3ACP)	1	2.3959	0.29341	0.73714	-2.3959	0.70858	1	2.1301	0.5988	0.84387	1	2.1301	0.54691	0.87516	0	NA	NA	NA
Acetoacetyl-CoA	3	-2.972	0.72056	1	10.514	0.15768	0.607	13.034	0.13772	0.42748	2	0.92106	0.8982	0.93661	1	21.273	0.047904	0.27417
Acetyl-CoA	19	-1.2928	0.61078	1	19.275	0.067864	0.42624	34.744	0.003992	0.068149	12	12.218	0.5509	0.87516	7	41.244	0.001996	0.057415
