Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
(R)-5,6-dihydrothymine:NAD+ oxidoreductase	2	-11.61	1	1	30.085	0.007984	0.19774	18.393	0.021956	0.36174	0	NA	NA	NA	2	18.393	0.045908	0.39724
(R,R)-butanediol dehydrogenase	1	-2.9358	0.73253	1	2.9358	0.26946	0.8127	2.7137	0.49301	0.73516	0	NA	NA	NA	1	2.7137	0.56487	0.85543
1 4 dihydroxy 2 naphthoate octaprenyltransferase	1	-0.053655	0.51297	0.98741	0.053655	0.48902	1	-1.7192	0.98004	0.98667	0	NA	NA	NA	1	-1.7192	0.98802	0.99675
1,2-diacylglycerol 3-glucosyltransferase (LRE specific)	2	2.8461	0.27545	0.74152	-2.8461	0.73453	1	2.4093	0.74651	0.85578	2	2.4093	0.74251	0.87285	0	NA	NA	NA
1,3-propanediol dehydrogenase	1	-8.2095	1	1	21.273	0.1018	0.50089	18.237	0.047904	0.41443	0	NA	NA	NA	1	18.237	0.073852	0.39724
1,4-dihydroxy-2-naphthoate octaprenyltransferase	1	-0.053655	0.51297	0.98741	0.053655	0.48902	1	-1.7192	0.98004	0.98667	0	NA	NA	NA	1	-1.7192	0.98802	0.99675
1,4-dihydroxy-2-naphthoyl-CoA hydrolase	1	-5.014	0.83832	1	5.014	0.16367	0.62685	4.879	0.28343	0.60596	0	NA	NA	NA	1	4.879	0.34731	0.64412
1-Acyl-glycerol-3-phosphate acyltransferase (Lb reuteri specific)	1	2.3959	0.30339	0.77731	-2.3959	0.6986	1	2.1301	0.55289	0.78503	1	2.1301	0.57285	0.84666	0	NA	NA	NA
1-deoxy-D-xylulose 5-phosphate synthase	1	-1.9611	0.66267	1	1.9611	0.34132	0.86016	1.6462	0.63273	0.80305	0	NA	NA	NA	1	1.6462	0.71657	0.8874
2 hydroxy 3 methylpentanoate dehydrogenase	2	13.429	0.027944	0.38223	-11.61	1	1	13.326	0.10778	0.43597	2	13.326	0.073852	0.38894	0	NA	NA	NA
2,5-diketo-D-gluconate reductase	3	12.192	0.015968	0.38223	-10.545	0.99202	1	11.948	0.16766	0.49308	3	11.948	0.10778	0.46253	0	NA	NA	NA
2,5-diketo-D-gluconate reductase (NADH)	3	12.192	0.015968	0.38223	-10.545	0.99202	1	11.948	0.16766	0.49308	3	11.948	0.10778	0.46253	0	NA	NA	NA
2,5-diketo-D-gluconate reductase (NADPH)	4	11.076	0.027944	0.38223	-9.6496	0.99002	1	10.608	0.28343	0.60596	4	10.608	0.17565	0.58816	0	NA	NA	NA
2-aceto-2-hydroxybutanoate synthase	1	-2.5589	0.71657	1	2.5589	0.28743	0.83421	2.3079	0.53094	0.76852	0	NA	NA	NA	1	2.3079	0.62475	0.8874
2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	1	2.1634	0.32136	0.79856	-2.1634	0.68263	1	1.8733	0.59082	0.80305	1	1.8733	0.61277	0.84666	0	NA	NA	NA
2-dehydropantoate 2-reductase	2	13.429	0.027944	0.38223	-11.61	1	1	13.326	0.10778	0.43597	2	13.326	0.073852	0.38894	0	NA	NA	NA
2-methylpropanol dehydrogenase	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
3',5'-bisphosphate nucleotidase	1	1.7227	0.35529	0.81993	-1.7227	0.64671	1	1.3725	0.67066	0.80849	1	1.3725	0.69661	0.84666	0	NA	NA	NA
3,4-Dihydroxy-2-butanone-4-phosphate	2	13.271	0.027944	0.38223	-4.0335	0.8004	1	16.633	0.03992	0.3622	1	21.273	0.013972	0.25732	1	2.2497	0.63473	0.8874
3-Oxo-glutaryl-[ACP] methyl ester dehydratase	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-Oxo-glutaryl-[ACP] methyl ester reductase	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-Oxo-pimeloyl-[ACP] methyl ester dehydratase	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-CoA dehydratase (3-hydroxyhexadecanoyl-CoA)	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
3-hydroxyacyl-CoA dehydratase (3-hydroxyoctadecanoyl-CoA)	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
3-hydroxyacyl-CoA dehydratase (3-hydroxytetradecanoyl-CoA)	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
3-hydroxyacyl-CoA dehydrogenase (acetoacetyl-CoA)	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0)	2	4.0315	0.21557	0.70017	-4.0315	0.8004	1	3.5752	0.61277	0.80305	2	3.5752	0.60479	0.84666	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C10:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C12:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C14:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C16:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C18:1)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C4:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C6:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] reductase (n-C8:0)	1	9.9751	0.047904	0.38223	-8.2095	1	1	9.906	0.12176	0.43597	1	9.906	0.06986	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] synthase (n-C12:0)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] synthase (n-C14:0)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] synthase (n-C16:0)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:0)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
3-oxoacyl-[acyl-carrier-protein] synthase (n-C18:1)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
3R)-3-Hydroxydodecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
3R)-3-Hydroxytetradecanoyl-[acyl-carrier-protein]:NADP+ oxidoreductase	2	3.1664	0.25349	0.70017	-1.918	0.6487	1	10.804	0.16966	0.49308	1	9.906	0.06986	0.38894	1	5.3736	0.33333	0.6321
4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase	1	2.5513	0.29541	0.76477	-2.5513	0.70659	1	2.2997	0.53493	0.77268	1	2.2997	0.53892	0.82998	0	NA	NA	NA
4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase	1	-1.2251	0.61477	1	1.2251	0.38723	0.89074	0.77036	0.76048	0.86381	0	NA	NA	NA	1	0.77036	0.83234	0.92948
4-aminobutyrate aminotransferase / Ornithine transaminase	1	14.951	0.023952	0.38223	-8.2095	1	1	14.905	0.065868	0.43597	1	14.905	0.033932	0.38894	0	NA	NA	NA
4-aminobutyrate transaminase	1	14.951	0.023952	0.38223	-8.2095	1	1	14.905	0.065868	0.43597	1	14.905	0.033932	0.38894	0	NA	NA	NA
4-aminobutyrate/glutamate antiport	2	-5.1273	0.84032	1	14.365	0.0998	0.50089	9.4725	0.20958	0.534	1	0.41831	0.83433	0.92174	1	12.978	0.11178	0.41644
4-carboxymuconolactone decarboxylase	1	-3.1435	0.75449	1	3.1435	0.2495	0.78219	2.9347	0.46906	0.73516	0	NA	NA	NA	1	2.9347	0.54291	0.84969
4-oxalocrotonate tautomerase	1	-0.21873	0.51697	0.98995	0.21873	0.48503	1	-0.94185	0.96008	0.98253	0	NA	NA	NA	1	-0.94185	0.97206	0.99292
5'-nucleotidase (AMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (CMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (GMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (IMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (UMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (XMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (dAMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (dCMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (dGMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (dTMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5'-nucleotidase (dUMP)	1	-1.9698	0.66267	1	1.9698	0.33932	0.86016	1.656	0.63273	0.80305	0	NA	NA	NA	1	1.656	0.71657	0.8874
5-Methylcytosine aminohydrolase	2	-1.1272	0.60679	1	1.1272	0.41517	0.92634	0.18726	0.93812	0.97074	0	NA	NA	NA	2	0.18726	0.96008	0.99292
5-amino-1-(5-phospho-D-ribosyl)imidazole:carbon-dioxide ligase (ADP-forming)	3	3.0779	0.26946	0.73069	-3.0779	0.76447	1	2.4717	0.83034	0.90715	3	2.4717	0.83832	0.92174	0	NA	NA	NA
5-amino-6-(5-phosphoribosylamino)uracil reductase	1	-1.5941	0.63074	1	1.5941	0.37126	0.87849	1.2217	0.69661	0.81362	0	NA	NA	NA	1	1.2217	0.76647	0.89139
5-aminolevulinate synthase;	1	-3.5701	0.77645	1	3.5701	0.22555	0.73189	3.3843	0.40918	0.7197	0	NA	NA	NA	1	3.3843	0.49102	0.79221
5-carboxyamino-1-(5-phospho-D-ribosyl)imidazole carboxymutase	3	3.0779	0.26946	0.73069	-3.0779	0.76447	1	2.4717	0.83034	0.90715	3	2.4717	0.83832	0.92174	0	NA	NA	NA
5-formyltetrahydrofolate cyclo-ligase	2	-2.3269	0.68064	1	2.3269	0.34731	0.86016	1.8112	0.79441	0.88479	0	NA	NA	NA	2	1.8112	0.82635	0.92771
5-methyltetrahydropteroyltri-L-glutamate:L-selenohomocysteine Se-methyltransferase	1	3.4704	0.22156	0.70017	-3.4704	0.78044	1	3.2796	0.42914	0.73244	1	3.2796	0.44711	0.81899	0	NA	NA	NA
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase	1	3.4704	0.22156	0.70017	-3.4704	0.78044	1	3.2796	0.42914	0.73244	1	3.2796	0.44711	0.81899	0	NA	NA	NA
6-(hydroxymethyl)-7,8-dihydropterin:4-aminobenzoate 2-amino-4-hydroxydihydropteridine-6-methenyltransferase	1	0.47786	0.47505	0.95796	-0.47786	0.52894	1	-0.33915	0.91417	0.96201	1	-0.33915	0.91417	0.9501	0	NA	NA	NA
6-phosphogluconolactonase	1	-3.1815	0.76248	1	3.1815	0.24351	0.76665	2.9749	0.46707	0.73516	0	NA	NA	NA	1	2.9749	0.53094	0.83717
7,8-dihydroneopterin 2'-epimerase	1	3.9783	0.2016	0.70017	-3.9783	0.8004	1	3.8103	0.37325	0.69105	1	3.8103	0.40918	0.81899	0	NA	NA	NA
ADPribose diphosphatase	1	0.44393	0.47705	0.95796	-0.44393	0.52495	1	-0.40454	0.92415	0.96841	1	-0.40454	0.92016	0.9501	0	NA	NA	NA
ATP maintenance requirment	1	-1.334	0.61876	1	1.334	0.38323	0.88705	0.907	0.7485	0.85675	0	NA	NA	NA	1	0.907	0.82036	0.92593
ATP synthase (three protons for one ATP)	7	-9.3347	0.97605	1	9.3347	0.22355	0.73189	8.8316	0.63473	0.80305	0	NA	NA	NA	7	8.8316	0.72255	0.8874
ATP:L-homoserine O-phosphotransferase	1	4.0054	0.2016	0.70017	-4.0054	0.8004	1	3.8385	0.36926	0.69028	1	3.8385	0.4012	0.81899	0	NA	NA	NA
ATP:alpha-D-glucose-1-phosphate adenylyltransferase	1	NA	NA	NA	NA	NA	NA	-8.2095	1	1	0	NA	NA	NA	0	NA	NA	NA
ATP:dGMP phosphotransferase	1	3.8072	0.20958	0.70017	-3.8072	0.79242	1	3.6322	0.39721	0.71039	1	3.6322	0.41517	0.81899	0	NA	NA	NA
ATP:dIDP phosphotransferase	1	-8.2095	1	1	21.273	0.1018	0.50089	13.391	0.07984	0.43597	0	NA	NA	NA	1	13.391	0.10379	0.39724
ATP:nicotinamide-nucleotide adenylyltransferase	1	0.67447	0.45709	0.946	-0.67447	0.54491	1	-2.9623e-05	0.87625	0.93399	1	-2.9623e-05	0.88623	0.94162	0	NA	NA	NA
Acetyl-CoA:L-homoserine O-acetyltransferase	1	-8.2095	1	1	21.273	0.1018	0.50089	11.822	0.097804	0.43597	0	NA	NA	NA	1	11.822	0.13174	0.43549
Acid phosphatase (FMN)	3	3.1699	0.26347	0.72236	-3.1699	0.77046	1	5.6408	0.52295	0.7614	2	5.3184	0.43313	0.81899	1	2.2488	0.63473	0.8874
Adenine Adenosylcobalamide phosphate phosphatase	1	-3.9576	0.79042	1	3.9576	0.21357	0.73189	3.7888	0.37525	0.69105	0	NA	NA	NA	1	3.7888	0.4491	0.75932
Adenine Adenosylcobalamin 5-phosphate synthase	1	-3.8985	0.78643	1	3.8985	0.21557	0.73189	3.7272	0.38323	0.70228	0	NA	NA	NA	1	3.7272	0.45509	0.76332
Adenosine deaminase	1	-1.1574	0.60878	1	1.1574	0.39321	0.89619	0.68363	0.77046	0.86589	0	NA	NA	NA	1	0.68363	0.84032	0.93099
Adenosine kinase	1	1.598	0.36527	0.81993	-1.598	0.63673	1	1.2263	0.69661	0.81362	1	1.2263	0.71257	0.84666	0	NA	NA	NA
Adenosyl cobainamide GTP transferase	1	-4.2175	0.81437	1	4.2175	0.18762	0.68003	4.0584	0.35329	0.67398	0	NA	NA	NA	1	4.0584	0.42515	0.73056
Adenosyl cobinamide kinase	1	-4.2175	0.81437	1	4.2175	0.18762	0.68003	4.0584	0.35329	0.67398	0	NA	NA	NA	1	4.0584	0.42515	0.73056
Adenosyl cobyrinate a,c diamide  <=> Adenosyl cobyrinate hexaamide	1	-5.86	0.85828	1	5.86	0.14371	0.58994	5.7438	0.24551	0.57803	0	NA	NA	NA	1	5.7438	0.3014	0.63024
Adenosylcobinamide-phosphate synthase	1	-8.2095	1	1	21.273	0.1018	0.50089	8.8181	0.13972	0.45001	0	NA	NA	NA	1	8.8181	0.18762	0.49062
Adentylate kinase (GTP)	1	1.598	0.36527	0.81993	-1.598	0.63673	1	1.2263	0.69661	0.81362	1	1.2263	0.71257	0.84666	0	NA	NA	NA
Adentylate kinase (ITP)	1	1.598	0.36527	0.81993	-1.598	0.63673	1	1.2263	0.69661	0.81362	1	1.2263	0.71257	0.84666	0	NA	NA	NA
Adenylate kinase (Inorganic triphosphate)	1	1.598	0.36527	0.81993	-1.598	0.63673	1	1.2263	0.69661	0.81362	1	1.2263	0.71257	0.84666	0	NA	NA	NA
Adenylyl-sulfate kinase	1	4.3687	0.18563	0.70017	-4.3687	0.81637	1	4.2148	0.33533	0.6514	1	4.2148	0.36327	0.79884	0	NA	NA	NA
Alanine transaminase	1	1.8327	0.34531	0.81709	-1.8327	0.65868	1	1.4997	0.6487	0.80305	1	1.4997	0.67465	0.84666	0	NA	NA	NA
Alanyl-tRNA synthetase	1	0.47786	0.47505	0.95796	-0.47786	0.52894	1	-0.33915	0.91417	0.96201	1	-0.33915	0.91417	0.9501	0	NA	NA	NA
Aminopropanol dehydrogenase reversible	1	-3.5701	0.77645	1	3.5701	0.22555	0.73189	3.3843	0.40918	0.7197	0	NA	NA	NA	1	3.3843	0.49102	0.79221
Ap4A synthetase	1	0.76383	0.44511	0.93954	-0.76383	0.55888	1	0.13838	0.8523	0.92301	1	0.13838	0.87425	0.93977	0	NA	NA	NA
Arginine deiminase	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
Arginine/ornithine antiporter	6	-3.4164	0.71058	1	14.486	0.08982	0.50089	17.173	0.1018	0.43597	3	8.1207	0.26148	0.72626	3	16.166	0.093812	0.39724
Aromatic amino acid aminotransferase phenylalanine	4	11.128	0.027944	0.38223	-6.0653	0.93014	1	15.005	0.10379	0.43597	2	18.686	0.013972	0.25732	2	2.5343	0.7525	0.8874
Aromatic amino acid aminotransferase tryptophan	4	11.128	0.027944	0.38223	-6.0653	0.93014	1	15.005	0.10379	0.43597	2	18.686	0.013972	0.25732	2	2.5343	0.7525	0.8874
Aromatic amino acid aminotransferase tyrosine	4	11.128	0.027944	0.38223	-6.0653	0.93014	1	15.005	0.10379	0.43597	2	18.686	0.013972	0.25732	2	2.5343	0.7525	0.8874
Asp-tRNA(Asn):L-glutamine amido-ligase (ADP-forming)	3	4.4765	0.19361	0.70017	-4.4765	0.83832	1	4.0455	0.68263	0.81362	3	4.0455	0.66667	0.84666	0	NA	NA	NA
Asparaginyl-tRNA synthetase	1	5.0588	0.15569	0.70017	-5.0588	0.84631	1	4.9249	0.27944	0.60437	1	4.9249	0.28942	0.72626	0	NA	NA	NA
Aspartyl-tRNA synthetase	1	-0.011582	0.50699	0.98353	0.011582	0.49501	1	-2.3558	0.99002	0.99403	0	NA	NA	NA	1	-2.3558	0.998	0.998
Beta-ketoacyl-ACP synthase	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
Biotin-(acetyl-CoA carboxylase) ligase	1	6.3314	0.10778	0.60213	-6.3314	0.89421	1	6.2236	0.22156	0.55315	1	6.2236	0.20559	0.61399	0	NA	NA	NA
Butyryl-[acyl-carrier protein]:malonyl-CoA C-acyltransferase	1	2.9173	0.25349	0.70017	-2.9173	0.7485	1	2.6939	0.49301	0.73516	1	2.6939	0.50898	0.81899	0	NA	NA	NA
Butyryl-[acyl-carrier protein]:malonyl-[acyl-carrier-protein]C-acyltransferase (decarboxylating)	1	9.5607	0.0499	0.38223	-8.2095	1	1	9.4887	0.12575	0.43597	1	9.4887	0.081836	0.38894	0	NA	NA	NA
CDP-Diacylglycerol synthetase (LRE specific)	1	-1.8753	0.65669	1	1.8753	0.34531	0.86016	1.5485	0.64271	0.80305	0	NA	NA	NA	1	1.5485	0.72455	0.8874
CPS synthase complex, LRE specific	5	5.8806	0.16367	0.70017	-5.8806	0.9002	1	5.6884	0.77046	0.86589	4	6.4408	0.51497	0.81899	1	-0.16208	0.92814	0.98674
CTP synthase (NH3)	2	3.6604	0.22555	0.70017	-3.6604	0.78643	1	3.1164	0.67265	0.80849	2	3.1164	0.65868	0.84666	0	NA	NA	NA
CTP synthase (glutamine)	3	1.2131	0.41717	0.90534	-1.2131	0.61677	1	4.1972	0.66866	0.80849	2	3.1164	0.65868	0.84666	1	2.8625	0.5509	0.85543
Carbamate kinase	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
Carbamate kinase (EC: 2.7.2.2) - 1a	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
Carbamate kinase (EC: 2.7.2.2) - 1b	1	-8.2095	1	1	21.273	0.1018	0.50089	21.273	0.037924	0.36174	0	NA	NA	NA	1	21.273	0.067864	0.39724
