Rxn name	Formula	Gene-reaction association	LB	UB	Objective
PPBNGS	2 5aop_c  -> 2 h2o_c + h_c + ppbng_c 	AC5u0009GL001880	  0.00	1000.00	  0.00
CYTK1	atp_c + cmp_c  -> adp_c + cdp_c 	AC5u0009GL001574	  0.00	1000.00	  0.00
RBFK	atp_c + ribflv_c  -> adp_c + fmn_c + h_c 	AC5u0009GL000185	  0.00	1000.00	  0.00
CYTK2	atp_c + dcmp_c  -> adp_c + dcdp_c 	AC5u0009GL001574	  0.00	1000.00	  0.00
FMNAT	atp_c + fmn_c + h_c  -> fad_c + ppi_c 	AC5u0009GL000185	  0.00	1000.00	  0.00
HHYR2	3oxhacp_c + h_c + nadph_c  -> 3hhacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
PRAGSr	atp_c + gly_c + pram_c  <=> adp_c + gar_c + h_c + pi_c 	AC5u0009GL000889	-1000.00	1000.00	  0.00
METACH	achms_c + h2s_c  <=> ac_c + h_c + hcys__L_c 	AC5u0009GL000439	-1000.00	1000.00	  0.00
NNDMBRT	ade_c + nicrnt_c  -> h_c + nac_c + prbade_c[] 	AC5u0009GL001874	  0.00	1000.00	  0.00
MCMAT6	ddeacp_c + h_c + malACP_c  -> 3oxtdacp_c + ACP_c + co2_c 	AC5u0009GL000227	  0.00	1000.00	  0.00
SRCHCOC	cobalt2_c + shcl_c  -> copre2_c + 3 h_c 	AC5u0009GL001890	  0.00	1000.00	  0.00
UPP3MT	2 amet_c + uppg3_c  -> 2 ahcys_c + h_c + shcl_c 	AC5u0009GL001891	  0.00	1000.00	  0.00
G6PDH2r	g6p_c + nadp_c  <=> 6pgl_c + h_c + nadph_c 	AC5u0009GL002016	-1000.00	1000.00	  0.00
TMDK1	atp_c + thymd_c  -> adp_c + dtmp_c + h_c 	AC5u0009GL000120	  0.00	1000.00	  0.00
ADEADOCBLPP	h2o_c + adeadocblp_c[]  -> pi_c + adeadocbl_c[] 	AC5u0009GL001876	  0.00	1000.00	  0.00
HMPabc	4ahmmp_e + atp_c + h2o_c  -> 4ahmmp_c + adp_c + h_c + pi_c 	AC5u0009GL001218 and AC5u0009GL001217	  0.00	1000.00	  0.00
ACLDC	alac__S_c + h_c  -> actn__R_c + co2_c 	AC5u0009GL000906	  0.00	1000.00	  0.00
UDPG4E	udpg_c  <=> udpgal_c 	AC5u0009GL000772	-1000.00	1000.00	  0.00
GLTAL	LTA_LRE_c + 20 udpg_c  -> LTAglc_LRE_c + 20 h_c + 20 udp_c 	AC5u0009GL001177 or AC5u0009GL001178	  0.00	1000.00	  0.00
aratry2	3mop_c + trp__L_c  <=> ile__L_c + indpyr_c 	AC5u0009GL000055 or AC5u0009GL000419 or AC5u0009GL001361 or AC5u0009GL001591 or AC5u0009GL001956	-1000.00	1000.00	  0.00
G3PD1	glyc3p_c + nad_c  <=> dhap_c + h_c + nadh_c 	AC5u0009GL000793	-1000.00	1000.00	  0.00
RNTR2	gtp_c + trdrd_c  -> dgtp_c + h2o_c + trdox_c 	AC5u0009GL001026 or AC5u0009GL001728 or AC5u0009GL001940	  0.00	1000.00	  0.00
AALDH	h_c + nadh_c + pacald_c  <=> nad_c + 2phetoh_c 	AC5u0009GL001122 or AC5u0009GL002010	-1000.00	1000.00	  0.00
DALTAL	LTA_LRE_c + 20 ala__D_c + 20 atp_c  -> LTAala_LRE_c + 20 adp_c + 20 pi_c 	AC5u0009GL000370 or AC5u0009GL000371 or AC5u0009GL000368 or AC5u0009GL000369	  0.00	1000.00	  0.00
THRt3	h_e + thr__L_c  -> h_c + thr__L_e 	AC5u0009GL001226 or AC5u0009GL001105 or AC5u0009GL001225	  0.00	1000.00	  0.00
SERD_L	ser__L_c  -> nh4_c + pyr_c 	AC5u0009GL001472 and AC5u0009GL001471	  0.00	1000.00	  0.00
RHC	h2o_c + rhcys_c  -> hcys__L_c + rib__D_c 	AC5u0009GL001392	  0.00	1000.00	  0.00
DHFOR2	dhf_c + nadp_c  <=> fol_c + h_c + nadph_c 	AC5u0009GL001566	-1000.00	1000.00	  0.00
FLVR	h_c + nadph_c + ribflv_c  -> nadp_c + ribflvRD_c 	AC5u0009GL001307 or AC5u0009GL001308	  0.00	1000.00	  0.00
DXPS	g3p_c + h_c + pyr_c  -> co2_c + dxyl5p_c 	AC5u0009GL000870	  0.00	1000.00	  0.00
GALU	g1p_c + h_c + utp_c  <=> ppi_c + udpg_c 	AC5u0009GL000794	-1000.00	1000.00	  0.00
COBALTt5	cobalt2_c  <=> cobalt2_e 	AC5u0009GL001488	-1000.00	1000.00	  0.00
MCMAT8	h_c + malACP_c + palmACP_c  -> 3oxocdacp_c + ACP_c + co2_c 	AC5u0009GL000227	  0.00	1000.00	  0.00
TDPDRR	dtdprmn_c + nadp_c  <=> dtdp4d6dm_c + h_c + nadph_c 	AC5u0009GL001414	-1000.00	1000.00	  0.00
FA182ACPH	h2o_c + ocdcyaACP_c  <=> ACP_c + h_c + ocdcya_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
DHNPA	dhnpt_c  -> 2ahhmp_c + gcald_c 	AC5u0009GL001062	  0.00	1000.00	  0.00
GALM	gal_c  <=> a_gal__D_c 	AC5u0009GL001430	-1000.00	1000.00	  0.00
PRAIS	atp_c + fpram_c  -> adp_c + air_c + 2 h_c + pi_c 	AC5u0009GL000892	  0.00	1000.00	  0.00
FA160ACPH	h2o_c + palmACP_c  <=> ACP_c + h_c + hdca_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
PYNP1r	csn_c + r1p_c  <=> cytd_c + pi_c 	AC5u0009GL001506	-1000.00	1000.00	  0.00
ILETRS	atp_c + ile__L_c + trnaile_c  -> amp_c + iletrna_c + ppi_c 	AC5u0009GL001342	  0.00	1000.00	  0.00
UAGPT5	uacgam_c + uagmdalac_c  -> h_c + uaagmdalac_c + udp_c 	AC5u0009GL001334	  0.00	1000.00	  0.00
PIabc	atp_c + h2o_c + pi_e  -> adp_c + h_c + 2 pi_c 	AC5u0009GL001317 or AC5u0009GL001314 or AC5u0009GL001313 or AC5u0009GL001315 or AC5u0009GL001316	  0.00	1000.00	  0.00
LEUTRS	atp_c + leu__L_c + trnaleu_c  -> amp_c + leutrna_c + ppi_c 	AC5u0009GL001047	  0.00	1000.00	  0.00
METabc	atp_c + h2o_c + met__L_e  -> adp_c + h_c + met__L_c + pi_c 	AC5u0009GL000612 or AC5u0009GL000613 or AC5u0009GL000668 or AC5u0009GL001233 or AC5u0009GL001666 or AC5u0009GL001848 or AC5u0009GL002128 or AC5u0009GL000614	  0.00	1000.00	  0.00
GK1	atp_c + gmp_c  -> adp_c + gdp_c 	AC5u0009GL000028	  0.00	1000.00	  0.00
TMPPP	2mahmp_c + 4mpetz_c + h_c  -> ppi_c + thmmp_c 	AC5u0009GL000271	  0.00	1000.00	  0.00
GUAPRT	gua_c + prpp_c  -> gmp_c + ppi_c 	AC5u0009GL000386 or AC5u0009GL001821	  0.00	1000.00	  0.00
GLYTRS	atp_c + gly_c + trnagly_c  -> amp_c + glytrna_c + ppi_c 	AC5u0009GL001595 and AC5u0009GL001594	  0.00	1000.00	  0.00
NTD9	gmp_c + h2o_c  -> gsn_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD8	dgmp_c + h2o_c  -> dgsn_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
GALSZ	h2o_c + lcts_c  -> gal_c + glc__D_c 	AC5u0009GL000721 or AC5u0009GL000722	  0.00	1000.00	  0.00
ADSL2r	25aics_c  <=> aicar_c + fum_c 	AC5u0009GL000898	-1000.00	1000.00	  0.00
ADSL1r	dcamp_c  <=> amp_c + fum_c 	AC5u0009GL000898	-1000.00	1000.00	  0.00
NTD1	dump_c + h2o_c  -> duri_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD2	h2o_c + ump_c  -> pi_c + uri_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD5	dtmp_c + h2o_c  -> pi_c + thymd_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD4	cmp_c + h2o_c  -> cytd_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD7	amp_c + h2o_c  -> adn_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
NTD6	damp_c + h2o_c  -> dad_2_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
ALAR	ala__L_c  <=> ala__D_c 	AC5u0009GL000374	-1000.00	1000.00	  0.00
kaasIII	accoa_c + h_c + malACP_c  -> actACP_c + co2_c + coa_c 	AC5u0009GL000231	  0.00	1000.00	  0.00
DHAt	dha_e  <=> dha_c 	AC5u0009GL001930	-1000.00	1000.00	  0.00
UGLDDS2	alaala_c + atp_c + uGgl_c  -> adp_c + h_c + pi_c + uGgla_c 	AC5u0009GL000365	  0.00	1000.00	  0.00
AICART	10fthf_c + aicar_c  <=> fprica_c + thf_c 	AC5u0009GL000890	-1000.00	1000.00	  0.00
CYSS	acser_c + h2s_c  -> ac_c + cys__L_c + h_c 	AC5u0009GL001444 or AC5u0009GL002043	  0.00	1000.00	  0.00
RNDR4	trdrd_c + udp_c  -> dudp_c + h2o_c + trdox_c 	AC5u0009GL000755 or AC5u0009GL000756 or AC5u0009GL000645 or AC5u0009GL002151 or AC5u0009GL000828 or AC5u0009GL001087 or AC5u0009GL001491	  0.00	1000.00	  0.00
PGGT4	uaagmdalac_c  -> PGlac2_c + udcpdp_c 	AC5u0009GL000841 or AC5u0009GL001074 or AC5u0009GL001732 or AC5u0009GL001331	  0.00	1000.00	  0.00
DASYN_LRE	ctp_c + h_c + pa_LRE_c  <=> cdpdag_LRE_c + ppi_c 	AC5u0009GL000196	-1000.00	1000.00	  0.00
FA140ACPH	h2o_c + myrsACP_c  <=> ACP_c + h_c + ttdca_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
ALALAC	ala__D_c + atp_c + lac__D_c  <=> adp_c + alalac_c + pi_c 	AC5u0009GL000096	-1000.00	1000.00	  0.00
NAPRT	h_c + nac_c + prpp_c  -> nicrnt_c + ppi_c 	AC5u0009GL000345 or AC5u0009GL000718	  0.00	1000.00	  0.00
ASPTA5	akg_c + tyr__L_c  <=> 34hpp_c + glu__L_c 	AC5u0009GL000055 or AC5u0009GL000419 or AC5u0009GL000780 or AC5u0009GL001361 or AC5u0009GL001591 or AC5u0009GL001902	-1000.00	1000.00	  0.00
CBLAT	atp_c + cbl1_c + h_c  <=> adocbl_c + pppi_c 	AC5u0009GL001915 or AC5u0009GL001903	-1000.00	1000.00	  0.00
GLYK	atp_c + glyc_c  -> adp_c + glyc3p_c + h_c 	AC5u0009GL001478	  0.00	1000.00	  0.00
HOCR3	3oxocacp_c + h_c + nadph_c  -> 3hocacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
BTMAT1	but2eACP_c + h_c + nadh_c  -> butACP_c + nad_c 	AC5u0009GL000221	  0.00	1000.00	  0.00
UAG2E	uacgam_c  <=> uacmam_c 	AC5u0009GL000746 or AC5u0009GL001165	-1000.00	1000.00	  0.00
FA120ACPH	ddcaACP_c + h2o_c  <=> ACP_c + ddca_c + h_c 	AC5u0009GL000768	-1000.00	1000.00	  0.00
MOADCST	MCOOH_c + atp_c + cys__L_c + h2o_c  -> MCOSH_c + amp_c + ppi_c + ser__L_c 	AC5u0009GL000683 or AC5u0009GL001347 or AC5u0009GL001760 or AC5u0009GL000682	  0.00	1000.00	  0.00
DHORD6	dhor__S_c + nad_c  <=> h_c + nadh_c + orot_c 	AC5u0009GL001495	-1000.00	1000.00	  0.00
UAMAGS	atp_c + glu__D_c + uama_c  -> adp_c + h_c + pi_c + uamag_c 	AC5u0009GL001333	  0.00	1000.00	  0.00
PPNCL	4ppan_c + ctp_c + cys__L_c  -> 4ppcys_c + cdp_c + h_c + pi_c 	AC5u0009GL000026	  0.00	1000.00	  0.00
ACHBS	2obut_c + h_c + pyr_c  -> 2ahbut_c + co2_c 	AC5u0009GL000907	  0.00	1000.00	  0.00
HMPK1	4ahmmp_c + atp_c  -> 4ampm_c + adp_c + h_c 	AC5u0009GL000270 or AC5u0009GL000843 or AC5u0009GL001072	  0.00	1000.00	  0.00
NTD3	dcmp_c + h2o_c  -> dcyt_c + pi_c 	AC5u0009GL001278	  0.00	1000.00	  0.00
CFAS180	amet_c + octeACP_c  -> ahcys_c + cpocdacp_c + h_c 	AC5u0009GL000910	  0.00	1000.00	  0.00
DHFR	dhf_c + h_c + nadph_c  <=> nadp_c + thf_c 	AC5u0009GL001566	-1000.00	1000.00	  0.00
TDPGDH	dtdpglu_c  -> dtdp4d6dg_c + h2o_c 	AC5u0009GL001415	  0.00	1000.00	  0.00
FMETTRS	10fthf_c + mettrna_c  -> fmettrna_c + h_c + thf_c 	AC5u0009GL000024	  0.00	1000.00	  0.00
FTHFL	atp_c + for_c + thf_c  -> 10fthf_c + adp_c + pi_c 	AC5u0009GL000908	  0.00	1000.00	  0.00
CYSabc	atp_c + cys__L_e + h2o_c  -> adp_c + cys__L_c + h_c + pi_c 	AC5u0009GL000165 or AC5u0009GL000668 or AC5u0009GL000728 or AC5u0009GL001233 or AC5u0009GL001666 or AC5u0009GL001685 or AC5u0009GL002128 or AC5u0009GL000729 or AC5u0009GL000727	  0.00	1000.00	  0.00
ALCD2x	etoh_c + nad_c  <=> acald_c + h_c + nadh_c 	AC5u0009GL000790 or AC5u0009GL000754 or AC5u0009GL001289 or AC5u0009GL001680 or AC5u0009GL001858	-1000.00	1000.00	  0.00
GLUTRS	atp_c + glu__L_c + trnaglu_c  -> amp_c + glutrna_c + ppi_c 	AC5u0009GL000056	  0.00	1000.00	  0.00
GLUTRR	glutrna_c + h_c + nadph_c  -> glu1sa_c + nadp_c + trnaglu_c 	AC5u0009GL001882	  0.00	1000.00	  0.00
DKGLCNR2y	25dkglcn_c + h_c + nadph_c  -> 5dglcn_c + nadp_c 	AC5u0009GL000399 or AC5u0009GL000463 or AC5u0009GL002037 or AC5u0009GL000462	  0.00	1000.00	  0.00
DKGLCNR2x	25dkglcn_c + h_c + nadh_c  -> 5dglcn_c + nad_c 	AC5u0009GL000399 or AC5u0009GL000463 or AC5u0009GL002037	  0.00	1000.00	  0.00
GLYCt5	glyc_c  <=> glyc_e 	AC5u0009GL001930	-1000.00	1000.00	  0.00
G5SD	glu5p_c + h_c + nadph_c  -> glu5sa_c + nadp_c + pi_c 	AC5u0009GL000777	  0.00	1000.00	  0.00
VALTRS	atp_c + trnaval_c + val__L_c  -> amp_c + ppi_c + valtrna_c 	AC5u0009GL000681	  0.00	1000.00	  0.00
HODHL8	3hocdacp_c  -> 2tocdacp_c + h2o_c 	AC5u0009GL001030 or AC5u0009GL000225 or AC5u0009GL000233	  0.00	1000.00	  0.00
ACPS2	apoACP_c + coa_c  -> ACP_c + h_c + pap_c 	AC5u0009GL000373	  0.00	1000.00	  0.00
THRPDC	h_c + thrp_c  -> applp_c + co2_c 	AC5u0009GL001902	  0.00	1000.00	  0.00
TRDR	h_c + nadph_c + trdox_c  -> nadp_c + trdrd_c 	AC5u0009GL000798 or AC5u0009GL001474 or AC5u0009GL000835 or AC5u0009GL001080	  0.00	1000.00	  0.00
HOCHL3	3hocacp_c  -> 2toceacp_c + h2o_c 	AC5u0009GL001030 or AC5u0009GL000225 or AC5u0009GL000233	  0.00	1000.00	  0.00
ORNt2	h_e + orn__L_e  -> h_c + orn__L_c 	AC5u0009GL000124	  0.00	1000.00	  0.00
ADCOBAPS	applp_c + adcobhex_c + atp_c  -> adocbip_c + adp_c + h_c + pi_c 	AC5u0009GL001900	  0.00	1000.00	  0.00
PGL	6pgl_c + h2o_c  -> 6pgc_c + h_c 	AC5u0009GL001322	  0.00	1000.00	  0.00
PGLYCP	2pglyc_c + h2o_c  -> glyclt_c + pi_c 	AC5u0009GL002089	  0.00	1000.00	  0.00
RNDR3	cdp_c + trdrd_c  -> dcdp_c + h2o_c + trdox_c 	AC5u0009GL000755 or AC5u0009GL000756	  0.00	1000.00	  0.00
GLU5K	atp_c + glu__L_c  -> adp_c + glu5p_c 	AC5u0009GL000778	  0.00	1000.00	  0.00
PPM	r1p_c  <=> r5p_c 	AC5u0009GL001507 or AC5u0009GL000923	-1000.00	1000.00	  0.00
MEVK3	gtp_c + mev__R_c  -> 5pmev_c + gdp_c + h_c 	AC5u0009GL001737	  0.00	1000.00	  0.00
MEVK2	ctp_c + mev__R_c  -> 5pmev_c + cdp_c + h_c 	AC5u0009GL001737	  0.00	1000.00	  0.00
HDMAT7	2thdeacp_c + h_c + nadh_c  -> nad_c + palmACP_c 	AC5u0009GL000221	  0.00	1000.00	  0.00
MEVK4	mev__R_c + utp_c  -> 5pmev_c + h_c + udp_c 	AC5u0009GL001737	  0.00	1000.00	  0.00
AMMQT7	2dmmq7_c + amet_c + nadph_c  -> ahcys_c + mql7_c + nadp_c 	AC5u0009GL001463	  0.00	1000.00	  0.00
LYSDC	h_c + lys__L_c  -> 15dap_c + co2_c 	AC5u0009GL001169	  0.00	1000.00	  0.00
ASPTA6	akg_c + phe__L_c  <=> glu__L_c + phpyr_c 	AC5u0009GL000055 or AC5u0009GL000419 or AC5u0009GL000780 or AC5u0009GL001361 or AC5u0009GL001591 or AC5u0009GL001902	-1000.00	1000.00	  0.00
NNAM	h2o_c + ncam_c  -> nac_c + nh4_c 	AC5u0009GL000346	  0.00	1000.00	  0.00
ASPTA4	akg_c + cys__L_c  <=> glu__L_c + mercppyr_c 	AC5u0009GL000780	-1000.00	1000.00	  0.00
DPCOAK	atp_c + dpcoa_c  -> adp_c + coa_c + h_c 	AC5u0009GL000820 or AC5u0009GL001095	  0.00	1000.00	  0.00
ASPTA2	4hglu_c + akg_c  <=> 4h2oxg_c + glu__L_c 	AC5u0009GL000780	-1000.00	1000.00	  0.00
GLNTAL	atp_c + gln__L_c + glutrna_c + h2o_c  <=> adp_c + glntrna_c + glu__L_c + h_c + pi_c 	AC5u0009GL000331 or AC5u0009GL000330 or AC5u0009GL000329	-1000.00	1000.00	  0.00
ASPTA	akg_c + asp__L_c  <=> glu__L_c + oaa_c 	AC5u0009GL000780	-1000.00	1000.00	  0.00
HODR8	3oxocdacp_c + h_c + nadph_c  -> 3hocdacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
VALt6	h_e + val__L_e  <=> h_c + val__L_c 	AC5u0009GL001196 or AC5u0009GL001499 or AC5u0009GL001500 or AC5u0009GL002064	-1000.00	1000.00	  0.00
UGLDDS1	alaala_c + atp_c + uAgl_c  -> adp_c + pi_c + uAgla_c 	AC5u0009GL000365	  0.00	1000.00	  0.00
HDDR5	3oxddacp_c + h_c + nadph_c  -> 3hddacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
DHPPDA__1	25dhpp_c + h2o_c + h_c  -> 5apru_c + nh4_c 	AC5u0009GL001777	  0.00	1000.00	  0.00
ARGabc	arg__L_e + atp_c + h2o_c  -> adp_c + arg__L_c + h_c + pi_c 	AC5u0009GL000164 or AC5u0009GL000669 or AC5u0009GL001684 or AC5u0009GL002127 or AC5u0009GL000165 or AC5u0009GL000668 or AC5u0009GL000728 or AC5u0009GL001233 or AC5u0009GL001666 or AC5u0009GL001685 or AC5u0009GL001849 or AC5u0009GL002128	  0.00	1000.00	  0.00
TDMAT6	2ttdeacp_c + h_c + nadh_c  -> nad_c + tdeacp_c 	AC5u0009GL000221	  0.00	1000.00	  0.00
DPMVD	5dpmev_c + atp_c  -> adp_c + co2_c + ipdp_c + pi_c 	AC5u0009GL001738	  0.00	1000.00	  0.00
DKGLCNR1	25dkglcn_c + h_c + nadph_c  -> 2dhguln_c + nadp_c 	AC5u0009GL000399 or AC5u0009GL000463 or AC5u0009GL002037	  0.00	1000.00	  0.00
HHDR7	3oxhdacp_c + h_c + nadph_c  -> 3hpaacp_c + nadp_c 	AC5u0009GL000944 or AC5u0009GL000228	  0.00	1000.00	  0.00
DHDPRy	23dhdp_c + h_c + nadph_c  -> nadp_c + thdp_c 	AC5u0009GL001360	  0.00	1000.00	  0.00
GF6PTA	f6p_c + gln__L_c  -> gam6p_c + glu__L_c 	AC5u0009GL000988	  0.00	1000.00	  0.00
PROTRS	atp_c + pro__L_c + trnapro_c  -> amp_c + ppi_c + protrna_c 	AC5u0009GL000194	  0.00	1000.00	  0.00
THFGLUS	atp_c + glu__L_c + thf_c  <=> adp_c + h_c + pi_c + thfglu_c 	AC5u0009GL000849 or AC5u0009GL001065 or AC5u0009GL001066 or AC5u0009GL000674 or AC5u0009GL002122	-1000.00	1000.00	  0.00
MTHPTGHM	5mthglu_c + hcys__L_c  -> met__L_c + thglu_c 	AC5u0009GL000437	  0.00	1000.00	  0.00
